Protocol,Port
TCP,53
TCP,53
TCP,80
TCP,443
UDP,5060
TCP,548
TCP,9100
TCP,515
TCP,427
UDP,427
UDP,161
TCP,22
TCP,8443
TCP,9443
TCP,636
TCP,389
UDP,636
TCP,993
TCP,995
TCP,989
TCP,990
TCP,25
TCP,110
TCP,143
ALG,21
TCP,587
TCP,5480
TCP,5989
TCP,5985
TCP,5986
UDP,137
TCP,135
TCP,7001
TCP,50000
TCP,1414
TCP,9080
TCP,139
TCP,445
TCP,1433
TCP,3306
TCP,5666
TCP,2049
UDP,2049
TCP,1521
TCP,5432
TCP,199
UDP,199
UDP,162
TCP,111
TCP,23
TCP,7500
TCP,8080
